Analyte_Abbreviation,Chemical_Name,CASRN,Treatment_Process,Test_Scale,Matrix,Matrix_Detail,Treatment_Temp_C,Treatment_Time,Condition_Details,Effectiveness_Percent,Effectiveness_Type,Measure_Details,Initial_Concentration,Initial_Details,Post_Concentration,Post_Details,Offgas_Concentration,Additional_Details,Citation,Treatment_Time_Minutes,Effectiveness_Percent_Numeric,Initial_Concentration_Numeric,Post_Concentration_Numeric,Offgas_Concentration_Numeric,Treatment_Success,Temperature_Category,Time_Category,In_Chemical_List,Standardized_Chemical_Name
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,3.39 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,3.39,,,False,High,,True,Perfluoroundecanoic acid
N-MeFOSAA,2-(N-Methylperfluorooctanesulfonamido)acetate,909405-48-7,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,23.5 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,23.5,,,False,High,,True,2-(N-Methylperfluorooctanesulfonamido)acetate
N-EtFOSAA,2-(N-Ethyl-perfluorooctanesulfonamido)acetate,2991-50-6,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,19.6 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,19.6,,,False,High,,True,2-(N-Ethylperfluorooctanesulfonamido)acetic acid
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,5.68 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,5.68,,,False,High,,True,8:2 Fluorotelomer sulfonic acid
PFNS,Perfluorononane sulfonate,474511-07-4,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,0 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,0.0,,,False,High,,True,Perfluorononanesulfonate
HFPO-DA,Hexafluoropropylene oxide dimer acid,13252-13-6,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,0 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,0.0,,,False,High,,True,Perfluoro-2-methyl-3-oxahexanoic acid
PFDA,Perfluorodecanoic acid,335-76-2,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,11.3 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,11.3,,,False,High,,True,Perfluorodecanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,26.3 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,26.3,,,False,High,,True,Perfluorooctanesulfonic acid
PFNA,Perfluorononanoic acid,375-95-1,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,5.3 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,5.3,,,False,High,,True,Perfluorononanoic acid
PFOSA,Perfluorooctanesulfonamide,754-91-6,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,0 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,0.0,,,False,High,,True,Perfluorooctanesulfonamide
7:3 FTCA,7:3 Fluorotelomer carboxylic acid,812-70-4,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,40 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,40.0,,,False,High,,True,3-(Perfluoroheptyl)propanoic acid
PFOA,Perflouorooctanoate,335-67-1,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,89.1 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,89.1,,,False,High,,True,Perfluorooctanoic acid
PFHpS,Perfluoroheptyl sulfonate,375-92-8,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,0 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,0.0,,,False,High,,True,Perfluoroheptanesulfonic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,33.7 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,33.7,,,False,High,,True,Perfluorohexanoic acid
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,0 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,0.0,,,False,High,,True,6:2 Fluorotelomer sulfonic acid
FtS 4:2,Fluorotelomer sulfonate 4:2,414911-30-1,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,0 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,0.0,,,False,High,,True,4:2 Fluorotelomer sulfonate
PFBS,Perfluorobutyl sulfonate,375-73-5,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,2.3 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,2.3,,,False,High,,True,Perfluorobutanesulfonic acid
PFPeA,Perfluoropentanoic acid,2706-90-3,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,5.94 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,5.94,,,False,High,,True,Perfluoropentanoic acid
HF,Hydrogen Fluoride,7664-39-3,Smoldering,Lab,Soil,Contaminated soil,1012.0,250 minute,51 g GAC/kg soil; air flux = 5 cm/s; smoldering velocity = 0.47 cm/min; time interpreted from supplemental information Fig S2; temperature represents average peak temperature; exact time sampled after smoldering not given; stated that temperatures at all locations in the treatment zone spent between 10 and 61 min above 900 °C; corresponds to IV-2,2438.1%,Percent Fluorine Recovery,0.259 mg HF captured;  2438.1 ± 4069.2% F captured as HF,0 mg/kg,,,,,Data from Table 3,Duchesne et al 2020,250.0,,0.0,,,False,High,Long,False,Hydrogen Fluoride
HF,Hydrogen Fluoride,7664-39-3,Smoldering,Lab,Soil,Contaminated soil,1040.0,250 minute,51 g GAC/kg soil; air flux = 5 cm/s; smoldering velocity = 0.38 cm/min; time interpreted from supplemental information Fig S2; temperature represents average peak temperature; exact time sampled after smoldering not given; stated that temperatures at all locations in the treatment zone spent between 10 and 61 min above 900 °C; corresponds to IV-1,577%,Percent Fluorine Recovery,0.195 mg HF captured; 577.0 ± 1403.8% F captured as HF,0 mg/kg,,,,,Data from Table 3,Duchesne et al 2020,250.0,,0.0,,,False,High,Long,False,Hydrogen Fluoride
HF,Hydrogen Fluoride,7664-39-3,Smoldering,Lab,Soil,Soil spiked with PFAS,642.0,250 minute,15 g GAC/kg soil; air flux = 5 cm/s; smoldering velocity = 0.24 cm/min; time interpreted from supplemental information Fig S2; temperature represents average peak temperature; exact time sampled after smoldering not given; trial failed to reach the desired 900 C; corresponds to III-5,<8.42%,Percent Fluorine Recovery,"mass in mg below detection limit of 0.0414 mg HF, <8.42% F captured as HF",0 mg/kg,,,,,Data from Table 3,Duchesne et al 2020,250.0,,0.0,,,False,High,Long,False,Hydrogen Fluoride
HF,Hydrogen Fluoride,7664-39-3,Smoldering,Lab,Soil,Soil spiked with PFAS,1143.0,250 minute,50 g GAC/kg soil; air flux = 5 cm/s; smoldering velocity = 0.48 cm/min; time interpreted from supplemental information Fig S2; temperature represents average peak temperature; exact time sampled after smoldering not given; stated that temperatures at all locations in the treatment zone spent between 10 and 61 min above 900 °C; corresponds to III-4,16.1%,Percent Fluorine Recovery,0.106 mg HF captured; 16.1% F captured as HF,0 mg/kg,,,,,Data from Table 3,Duchesne et al 2020,250.0,,0.0,,,False,High,Long,False,Hydrogen Fluoride
HF,Hydrogen Fluoride,7664-39-3,Smoldering,Lab,Soil,Soil spiked with PFAS,1093.0,250 minute,50 g GAC/kg soil; air flux = 5 cm/s; smoldering velocity = 0.64 cm/min; time interpreted from supplemental information Fig S2; temperature represents average peak temperature; exact time sampled after smoldering not given; stated that temperatures at all locations in the treatment zone spent between 10 and 61 min above 900 °C; corresponds to III-2,16.6%,Percent Fluorine Recovery,0.0951 mg HF captured; 16.6% F captured as HF,0 mg/kg,,,,,Data from Table 3,Duchesne et al 2020,250.0,,0.0,,,False,High,Long,False,Hydrogen Fluoride
PFBA,Perfluorobutanoic acid,375-22-4,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,7.03 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,7.03,,,False,High,,True,Perfluorobutanoic acid
3:3 FTCA,"2H,2H,3H,3H-Perfluorohexanoic acid",356-02-5,Pyrolysis,Not specified,Sludge,Biosolids,593.33,,Treatment time is not listed,100%,Percent Destruction,,0 ng/g,,,,,No PFAAS were detected in the Biochar remains,Bioforcetech 2019,,,0.0,,,False,High,,True,3:3 Fluorotelomer carboxylic acid
HF,Hydrogen Fluoride,7664-39-3,Smoldering,Lab,Treatment Media,GAC spiked with PFAS,1011.0,250 minute,46 g GAC/kg sand; air flux = 5 cm/s; smoldering velocity = 0.40 cm/min; time interpreted from supplemental information Fig S2; temperature represents average peak temperature; exact time sampled after smoldering not given; stated that temperatures at all locations in the treatment zone spent between 10 and 61 min above 900 °C; corresponds to II-2,40.6%,Percent Fluorine Recovery,15.5 mg HF captured; 40.6% F captured as HF,0 mg/kg,,,,,Data from Table 3,Duchesne et al 2020,250.0,,0.0,,,False,High,Long,False,Hydrogen Fluoride
PFOA,Perflouorooctanoate,335-67-1,Incineration,Lab,Other,"Fabric; an untreated article, and a fluorotelomer-based acrylic polymer treated article.",,2 second,"Thermal experiments were conducted at non-flame reactor temperatures from 600 to 1000C for a mean, gas-phase residence time of 2.0 s. 85% excess air was used for all ATRS experiments.",,,,,,,,ND,,Yamada et al 2005,0.03333333333333333,,,,0.0,False,,Short,True,Perfluorooctanoic acid
HF,Hydrogen Fluoride,7664-39-3,Smoldering,Lab,Treatment Media,GAC spiked with PFAS,1048.0,250 minute,44 g GAC/kg sand; air flux = 5 cm/s; smoldering velocity = 0.45 cm/min; time interpreted from supplemental information Fig S2; temperature represents average peak temperature; exact time sampled after smoldering not given; stated that temperatures at all locations in the treatment zone spent between 10 and 61 min above 900 °C; corresponds to II-1,45.7%,Percent Fluorine Recovery,17.2 mg HF captured; 45.7% F captured as HF,0 mg/kg,,,,,Data from Table 3,Duchesne et al 2020,250.0,,0.0,,,False,High,Long,False,Hydrogen Fluoride
HF,Hydrogen Fluoride,7664-39-3,Smoldering,Lab,Soil,Soil spiked with PFAS,1016.0,250 minute,48 g GAC/kg soil; air flux = 5 cm/s; moisture content = 10.8%; smoldering time interpreted from Figure 5,82%,Percent Fluorine Recovery,,0 mg/kg,,Not detected,,,82% of available fluorine captured as HF; data from paragraph under Table 11.,Major 2019,250.0,,0.0,0.0,,False,High,Long,False,Hydrogen Fluoride
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,98.4%,Percent Removed,,2352.9 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Roots,Zhang et al 2020,120.0,,2352.9,,,False,Medium,Medium,True,Perfluorooctanesulfonic acid
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,100%,Percent Removed,,1200 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Roots,Zhang et al 2020,120.0,,1200.0,,,False,Medium,Medium,True,Perfluoroheptanoic acid
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,100%,Percent Removed,,1200 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Roots,Zhang et al 2020,120.0,,1200.0,,,False,Medium,Medium,True,Perfluorooctanoic acid
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,100%,Percent Removed,,147 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Roots,Zhang et al 2020,120.0,,147.0,,,False,Medium,Medium,True,Perfluorobutanoic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,100%,Percent Removed,,1100 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Roots,Zhang et al 2020,120.0,,1100.0,,,False,Medium,Medium,True,Perfluorohexanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,49.7%,Percent Removed,,800 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Shoots,Zhang et al 2020,120.0,,800.0,,,False,Medium,Medium,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,100%,Percent Removed,,1000 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Shoots,Zhang et al 2020,120.0,,1000.0,,,False,Medium,Medium,True,Perfluorooctanoic acid
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,100%,Percent Removed,,1000 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Shoots,Zhang et al 2020,120.0,,1000.0,,,False,Medium,Medium,True,Perfluoroheptanoic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,100%,Percent Removed,,1100 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Shoots,Zhang et al 2020,120.0,,1100.0,,,False,Medium,Medium,True,Perfluorohexanoic acid
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Other,Contaminated plants,300.0,2 hour,Data presented in Figure 3,90%,Percent Removed,,254 µg/kg,"Plants exposed to PFAAS for 2 weeks. The bioaccumulation factor (BAF = PFAA concentration
in shoots/PFAA concentration in roots) was 1.73, 0.98,
0.87, 0.77, and 0.34 for PFBA, PFHxA, PFHpA, PFOA, and
PFOS, respectively. These BAFs demonstrated that shorter
chain PFAS tended to accumulate in plant shoots, while longer
chain PFCAs and PFSAs tended to associate with plant roots.",,,,Removal in Shoots,Zhang et al 2020,120.0,,254.0,,,False,Medium,Medium,True,Perfluorobutanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Water spiked with PFAS,300.0,2 hour,PFAS treated with 1 M KOH,	=85.9%,Percent Removed,"In particular, the removal of PFOS was 85.9 ± 1.2%, which was extremely close to what was previously reported after HTL of PFOS at 50 mg/L with 1 M of NaOH at 350 °C for 90 min in 5.3 mL stainless steel reactors",,,,,,,Zhang et al 2020,120.0,,,,,False,Medium,Medium,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC spiked with PFOS,1000.0,10 minute,Treatment time representative of time in furnace; exposed to nitrogen gas for 2 minutes at 1.5 L/min,80%,Percent Fluorine Recovery,Mineralized F in off-gas,10 mg/g,50 mg of GAC treated,Not detected,,Not detected,No PFASs remained in either quartz tube or GAC; quantification limit = 0.05 ug F; No VOF recovered in Tenax TA tube; quantification limit = 0.3 ug F; data interpolated from Fig. 4,Watanabe et al 2016,10.0,100.0,10.0,0.0,0.0,True,High,Short,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Water spiked with PFAS,350.0,6 hour,,0%,Destruction and Removal Efficiency,,186 mg/L,,,,,PFOS at 186 mg/L showed little reactivity  at 350°C after 6h,Zhang et al 2020,360.0,,186.0,,,False,Medium,Long,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC spiked with PFOS,1000.0,10 minute,Treatment time representative of time in furnace; exposed to nitrogen gas for 2 minutes at 1.5 L/min,1%,Percent Fluorine Recovery,Volatile organic fluorine recovered in Carboxen 569,10 mg/g,50 mg of GAC treated,Not detected,,Not detected,No PFASs remained in either quartz tube or GAC; quantification limit = 0.05 ug F; No VOF recovered in Tenax TA tube; quantification limit = 0.3 ug F; data interpolated from Fig. 4,Watanabe et al 2016,10.0,100.0,10.0,0.0,0.0,True,High,Short,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Water spiked with PFAS,350.0,90 minute,,0%,Destruction and Removal Efficiency,,50 mg/L,,=,,,negligible amount of PFOS at 50 mg/L was destroyed at 350 °C after 90 min,Zhang et al 2020,90.0,,50.0,,,False,Medium,Medium,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC spiked with PFOS,900.0,10 minute,Treatment time representative of time in furnace; exposed to nitrogen gas for 2 minutes at 1.5 L/min,82%,Percent Fluorine Recovery,Mineralized F in off-gas,10 mg/g,50 mg of GAC treated,Not detected,,Not detected,No PFASs remained in either quartz tube or GAC; quantification limit = 0.05 ug F; No VOF recovered in Tenax TA tube; quantification limit = 0.3 ug F; data interpolated from Fig. 4,Watanabe et al 2016,10.0,100.0,10.0,0.0,0.0,True,High,Short,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC spiked with PFOS,900.0,10 minute,Treatment time representative of time in furnace; exposed to nitrogen gas for 2 minutes at 1.5 L/min,3%,Percent Fluorine Recovery,Mineralized F in quartz tube and GAC,10 mg/g,50 mg of GAC treated,Not detected,,Not detected,No PFASs remained in either quartz tube or GAC; quantification limit = 0.05 ug F; No VOF recovered in Tenax TA tube; quantification limit = 0.3 ug F; data interpolated from Fig. 4,Watanabe et al 2016,10.0,100.0,10.0,0.0,0.0,True,High,Short,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC spiked with PFOS,900.0,10 minute,Treatment time representative of time in furnace; exposed to nitrogen gas for 2 minutes at 1.5 L/min,2%,Percent Fluorine Recovery,Volatile organic fluorine recovered in Carboxen 569,10 mg/g,50 mg of GAC treated,Not detected,,Not detected,No PFASs remained in either quartz tube or GAC; quantification limit = 0.05 ug F; No VOF recovered in Tenax TA tube; quantification limit = 0.3 ug F; data interpolated from Fig. 4,Watanabe et al 2016,10.0,100.0,10.0,0.0,0.0,True,High,Short,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Water spiked with PFAS,300.0,2 hour,,	=100%,Percent Defluorination,46.2,,,,,,PFAAs during HTL of pure aqueous solution,Zhang et al 2020,120.0,,,,,False,Medium,Medium,True,Perfluorooctanoic acid
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Water spiked with PFAS,300.0,2 hour,,100%,Percent Degradation,100,,,,,,PFAAs during HTL of pure aqueous solution,Zhang et al 2020,120.0,,,,,False,Medium,Medium,True,Perfluorooctanoic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Other,Water spiked with PFAS,300.0,2 hour,,	=100%,Percent Degradation,100,,,,,,PFAAs during HTL of pure aqueous solution,Zhang et al 2020,120.0,,,,,False,Medium,Medium,True,Perfluorohexanoic acid
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Other,Water spiked with PFAS,300.0,2 hour,,	=100%,Percent Degradation,100,,,,,,PFAAs during HTL of pure aqueous solution,Zhang et al 2020,120.0,,,,,False,Medium,Medium,True,Perfluoroheptanoic acid
PFPeA,Perfluoropentanoic acid,2706-90-3,Hydrothermal Treatment,Lab,Other,Water spiked with PFAS,300.0,2 hour,,	=100%,Percent Degradation,100,,,,,,PFAAs during HTL of pure aqueous solution,Zhang et al 2020,120.0,,,,,False,Medium,Medium,True,Perfluoropentanoic acid
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Other,Water spiked with PFAS,300.0,2 hour,,	=100%,Percent Degradation,100,,,,,,PFAAs during HTL of pure aqueous solution,Zhang et al 2020,120.0,,,,,False,Medium,Medium,True,Perfluorobutanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Incineration,Full,Other,Unspecified waste,850.0,2 second,"Regulatory minimum for waste incineration processing in the study locale (Harlingen, The Netherlands). Not necessarily the conditions at which field measurements were made during the study period.",,,,,,,,1.7 pg/Nm<sup>3</sup>,ESTIMATE: Values estimated from plot in Fig 2,Arkenbout 2018,0.03333333333333333,,,,1.7,False,High,Short,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Incineration,Full,Other,Unspecified waste,850.0,2 second,"Regulatory minimum for waste incineration processing in the study locale (Harlingen, The Netherlands). Not necessarily the conditions at which field measurements were made during the study period.",,,,,,,,31.1 pg/Nm<sup>3</sup>,ESTIMATE: Values estimated from plot in Fig 2,Arkenbout 2018,0.03333333333333333,,,,31.1,False,High,Short,True,Perfluorooctanoic acid
PFOA,Perflouorooctanoate,335-67-1,Incineration,Full,Other,Unspecified waste,850.0,2 second,"Regulatory minimum for waste incineration processing in the study locale (Harlingen, The Netherlands). Not necessarily the conditions at which field measurements were made during the study period.",,,,,,,,40.4 pg/Nm<sup>3</sup>,ESTIMATE: Values estimated from plot in Fig 2,Arkenbout 2018,0.03333333333333333,,,,40.4,False,High,Short,True,Perfluorooctanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Incineration,Full,Other,Unspecified waste,850.0,2 second,"Regulatory minimum for waste incineration processing in the study locale (Harlingen, The Netherlands). Not necessarily the conditions at which field measurements were made during the study period.",,,,,,,,8.1 pg/Nm<sup>3</sup>,ESTIMATE: Values estimated from plot in Fig 2,Arkenbout 2018,0.03333333333333333,,,,8.1,False,High,Short,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC spiked with PFOS,800.0,10 minute,Treatment time representative of time in furnace; exposed to nitrogen gas for 2 minutes at 1.5 L/min,75%,Percent Fluorine Recovery,Mineralized F in off-gas,10 mg/g,50 mg of GAC treated,Not detected,,Not detected,No PFASs remained in either quartz tube or GAC; quantification limit = 0.05 ug F; No VOF recovered in Tenax TA tube; quantification limit = 0.3 ug F; data interpolated from Fig. 4,Watanabe et al 2016,10.0,100.0,10.0,0.0,0.0,True,High,Short,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC spiked with PFOS,800.0,10 minute,Treatment time representative of time in furnace; exposed to nitrogen gas for 2 minutes at 1.5 L/min,3%,Percent Fluorine Recovery,Mineralized F in quartz tube and GAC,10 mg/g,50 mg of GAC treated,Not detected,,Not detected,No PFASs remained in either quartz tube or GAC; quantification limit = 0.05 ug F; No VOF recovered in Tenax TA tube; quantification limit = 0.3 ug F; data interpolated from Fig. 4,Watanabe et al 2016,10.0,100.0,10.0,0.0,0.0,True,High,Short,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC spiked with PFOS,800.0,10 minute,Treatment time representative of time in furnace; exposed to nitrogen gas for 2 minutes at 1.5 L/min,4%,Percent Fluorine Recovery,Volatile organic fluorine recovered in Carboxen 569,10 mg/g,50 mg of GAC treated,Not detected,,Not detected,No PFASs remained in either quartz tube or GAC; quantification limit = 0.05 ug F; No VOF recovered in Tenax TA tube; quantification limit = 0.3 ug F; data interpolated from Fig. 4,Watanabe et al 2016,10.0,100.0,10.0,0.0,0.0,True,High,Short,True,Perfluorooctanesulfonic acid
