Analyte Abv.,Analyte Name,CASRN,Treatment Process,Test Scale,Matrix,Matrix Detail,Treatment Temperature (°C),Treatment Time,Condition Details,Effectiveness (%),Effectiveness Type,Measure Details,Initial Concentration,Initial Details,Post Concentration,Post Details,Offgas Concentration,Additional Details,Citation
N-MeFOSE,N-Methylperfluorooctanesulfonamidoethanol,24448-09-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.382 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
N-EtFOSAA,2-(N-Ethyl-perfluorooctanesulfonamido)acetate,2991-50-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.172 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.03 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
N-EtFOSAA,2-(N-Ethyl-perfluorooctanesulfonamido)acetate,2991-50-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.225 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.031 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
N-EtFOSAA,2-(N-Ethyl-perfluorooctanesulfonamido)acetate,2991-50-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.262 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.029 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.068 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.031 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.046 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.03 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.067 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.029 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.93 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.061 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.674 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.059 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,1.06 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay",<0.058 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,550,38 second,Reactor pressure = 25 Mpa,116%,Percent Defluorination,,19.7 ppm,,0.00005 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,550,38 second,Reactor pressure = 25 Mpa,99.9998%,Percent Removal Efficiency,,19.7 ppm,,0.00005 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,515,40 second,Reactor pressure = 25 Mpa,113%,Percent Defluorination,,20.2 ppm,,0.00058 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,515,40 second,Reactor pressure = 25 Mpa,99.9971%,Percent Removal Efficiency,,20.2 ppm,,0.00058 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,480,59 second,Reactor pressure = 25 Mpa,108%,Percent Defluorination,,20.6 ppm,,0.00071 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,480,59 second,Reactor pressure = 25 Mpa,99.9965%,Percent Removal Efficiency,,20.6 ppm,,0.00071 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,450,71 second,Reactor pressure = 25 Mpa,103%,Percent Defluorination,,21 ppm,,0.00108 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,450,71 second,Reactor pressure = 25 Mpa,99.9949%,Percent Removal Efficiency,,21 ppm,,0.00108 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,410,108 second,Reactor pressure = 25 Mpa,106%,Percent Defluorination,,21.5 ppm,,0.00132 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,410,108 second,Reactor pressure = 25 Mpa,99.9939%,Percent Removal Efficiency,,21.5 ppm,,0.00132 ppm,,,Data from Table S4 in supplementary data,Li et al 2023
Total PFAS,Total Per- and Polyfluorinated Substances,(n/a),Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,650,28 second,Reactor pressure = 25 Mpa,109.84%,Percent Defluorination,,,,,,,Data from Table S5 in supplementary data,Li et al 2023
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,650,28 second,Reactor pressure = 25 Mpa,>99.9999%,Percent Removal Efficiency,,0.3 ppm,,0 ppm,,,Data from Table S5 in supplementary data,Li et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,650,28 second,Reactor pressure = 25 Mpa,>99.9999%,Percent Removal Efficiency,,43.32 ppm,,0 ppm,,,Data from Table S5 in supplementary data,Li et al 2023
Total PFAS,Total Per- and Polyfluorinated Substances,(n/a),Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,600,32 second,Reactor pressure = 25 Mpa,105.48%,Percent Defluorination,,,,,,,Data from Table S5 in supplementary data,Li et al 2023
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,600,32 second,Reactor pressure = 25 Mpa,>99.9999%,Percent Removal Efficiency,,0.3 ppm,,0 ppm,,,Data from Table S5 in supplementary data,Li et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,600,32 second,Reactor pressure = 25 Mpa,99.995%,Percent Removal Efficiency,,44.59 ppm,,0.002 ppm,,,Data from Table S5 in supplementary data,Li et al 2023
Total PFAS,Total Per- and Polyfluorinated Substances,(n/a),Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,580,34 second,Reactor pressure = 25 Mpa,104.53%,Percent Defluorination,,,,,,,Data from Table S5 in supplementary data,Li et al 2023
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,580,34 second,Reactor pressure = 25 Mpa,>99.9999%,Percent Removal Efficiency,,0.32 ppm,,0 ppm,,,Data from Table S5 in supplementary data,Li et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,580,34 second,Reactor pressure = 25 Mpa,99.98%,Percent Removal Efficiency,,47.38 ppm,,0.01 ppm,,,Data from Table S5 in supplementary data,Li et al 2023
Total PFAS,Total Per- and Polyfluorinated Substances,(n/a),Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,530,39 second,Reactor pressure = 25 Mpa,96.82%,Percent Defluorination,,,,,,,Data from Table S5 in supplementary data,Li et al 2023
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,530,39 second,Reactor pressure = 25 Mpa,>99.9999%,Percent Removal Efficiency,,0.34 ppm,,0 ppm,,,Data from Table S5 in supplementary data,Li et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,530,39 second,Reactor pressure = 25 Mpa,98.52%,Percent Removal Efficiency,,49.71 ppm,,0.74 ppm,,,Data from Table S5 in supplementary data,Li et al 2023
Total PFAS,Total Per- and Polyfluorinated Substances,(n/a),Hydrothermal Treatment,Lab,Other,Supercritical water oxidation reactor,515,40 second,Reactor pressure = 25 Mpa,88.51%,Percent Defluorination,,,,,,,Data from Table S5 in supplementary data,Li et al 2023
